host_time,at_s,threads,handles,managed_heap_mb,value_events,error_events
2026-09-15 23:39:14.535,0.0,17,334,1.69,0,0
2026-09-15 23:39:44.594,30.1,26,458,1.87,870,13
2026-09-15 23:40:14.686,60.2,21,461,1.89,1895,29
