host_time,at_s,threads,handles,managed_heap_mb,value_events,error_events
2026-09-15 23:33:57.964,0.0,17,327,1.63,0,0
2026-09-15 23:34:27.979,30.0,25,427,1.79,1200,1
2026-09-15 23:34:57.984,60.0,23,428,1.79,2355,3
