seq,host_time,device,point,value,user,outcome,message
916,2026-09-15 23:34:20.489,IM-01,im01.cavitySetTemp,240,op01,Succeeded,-
1381,2026-09-15 23:34:32.955,IM-01,im01.cavitySetTemp,232,op01,Succeeded,-
1961,2026-09-15 23:34:47.690,IM-01,im01.cavitySetTemp,236,op01,Succeeded,-
2431,2026-09-15 23:34:59.955,IM-01,im01.cavitySetTemp,234,op01,Succeeded,-
