host_time,at_s,threads,handles,managed_heap_mb,value_events,error_events
2026-09-15 23:44:29.037,0.0,18,339,1.71,0,0
2026-09-15 23:44:59.067,30.1,25,423,1.81,1287,0
2026-09-15 23:45:29.083,60.1,24,416,1.81,2446,0
2026-09-15 23:45:59.099,90.1,24,416,1.82,3579,0
2026-09-15 23:46:29.112,120.1,22,415,1.81,4708,0
2026-09-15 23:46:59.123,150.1,17,405,1.81,5841,0
