seq,host_time,device,point,value,user,outcome,message
1138,2026-09-15 23:38:20.531,IM-01,im01.cavitySetTemp,238,op01,Succeeded,-
1549,2026-09-15 23:38:31.886,IM-01,im01.cavitySetTemp,234,op01,Succeeded,-
